GroupedCountry,Date,OneK60kgBags
Brazil,7/1/1990,27286
Colombia,7/1/1990,14396
Ethiopia,7/1/1990,2909
Indonesia,7/1/1990,7441
Other,7/1/1990,39888
Viet Nam,7/1/1990,1310
Brazil,7/1/1991,27293
Colombia,7/1/1991,17980
Ethiopia,7/1/1991,2925
Indonesia,7/1/1991,8493
Other,7/1/1991,43140
Viet Nam,7/1/1991,1438
Brazil,7/1/1992,34603
Colombia,7/1/1992,14947
Ethiopia,7/1/1992,1825
Indonesia,7/1/1992,5569
Other,7/1/1992,39239
Viet Nam,7/1/1992,2340
Brazil,7/1/1993,28167
Colombia,7/1/1993,11422
Ethiopia,7/1/1993,2967
Indonesia,7/1/1993,6743
Other,7/1/1993,39443
Viet Nam,7/1/1993,3020
Brazil,7/1/1994,28192
Colombia,7/1/1994,12964
Ethiopia,7/1/1994,2763
Indonesia,7/1/1994,5368
Other,7/1/1994,40395
Viet Nam,7/1/1994,3632
Brazil,7/1/1995,18060
Colombia,7/1/1995,12938
Ethiopia,7/1/1995,3165
Indonesia,7/1/1995,4573
Other,7/1/1995,44612
Viet Nam,7/1/1995,3970
Brazil,7/1/1996,29197
Colombia,7/1/1996,10779
Ethiopia,7/1/1996,3407
Indonesia,7/1/1996,8221
Other,7/1/1996,45950
Viet Nam,7/1/1996,5752
Brazil,7/1/1997,26148
Colombia,7/1/1997,12122
Ethiopia,7/1/1997,3057
Indonesia,7/1/1997,7621
Other,7/1/1997,43934
Viet Nam,7/1/1997,6979
Brazil,7/1/1998,36761
Colombia,7/1/1998,10868
Ethiopia,7/1/1998,2928
Indonesia,7/1/1998,7296
Other,7/1/1998,43987
Viet Nam,7/1/1998,7052
Brazil,7/1/1999,47578
Colombia,7/1/1999,9512
Ethiopia,7/1/1999,3784
Indonesia,7/1/1999,6557
Other,7/1/1999,52323
Viet Nam,7/1/1999,11631
Brazil,7/1/2000,31310
Colombia,7/1/2000,10519
Ethiopia,7/1/2000,3115
Indonesia,7/1/2000,6987
Other,7/1/2000,46992
Viet Nam,7/1/2000,14841
Brazil,7/1/2001,31365
Colombia,7/1/2001,11950
Ethiopia,7/1/2001,4044
Indonesia,7/1/2001,6833
Other,7/1/2001,40616
Viet Nam,7/1/2001,13093
Brazil,7/1/2002,48352
Colombia,7/1/2002,11712
Ethiopia,7/1/2002,4094
Indonesia,7/1/2002,6731
Other,7/1/2002,40152
Viet Nam,7/1/2002,11574
Brazil,7/1/2003,28873
Colombia,7/1/2003,11053
Ethiopia,7/1/2003,4394
Indonesia,7/1/2003,6404
Other,7/1/2003,39447
Viet Nam,7/1/2003,15337
Brazil,7/1/2004,39281
Colombia,7/1/2004,11429
Ethiopia,7/1/2004,5213
Indonesia,7/1/2004,7536
Other,7/1/2004,38238
Viet Nam,7/1/2004,14370
Brazil,7/1/2005,32933
Colombia,7/1/2005,11952
Ethiopia,7/1/2005,4779
Indonesia,7/1/2005,9159
Other,7/1/2005,38504
Viet Nam,7/1/2005,13842
Brazil,7/1/2006,48432
Colombia,7/1/2006,12164
Ethiopia,7/1/2006,5551
Indonesia,7/1/2006,7483
Other,7/1/2006,42422
Viet Nam,7/1/2006,19340
Brazil,7/1/2007,38911
Colombia,7/1/2007,12515
Ethiopia,7/1/2007,5967
Indonesia,7/1/2007,7777
Other,7/1/2007,40267
Viet Nam,7/1/2007,16405
Brazil,7/1/2008,51491
Colombia,7/1/2008,8664
Ethiopia,7/1/2008,4949
Indonesia,7/1/2008,9612
Other,7/1/2008,41647
Viet Nam,7/1/2008,18438
Brazil,7/1/2009,43977
Colombia,7/1/2009,8098
Ethiopia,7/1/2009,6931
Indonesia,7/1/2009,11380
Other,7/1/2009,39764
Viet Nam,7/1/2009,17825
Brazil,7/1/2010,55428
Colombia,7/1/2010,8523
Ethiopia,7/1/2010,7500
Indonesia,7/1/2010,9129
Other,7/1/2010,41435
Viet Nam,7/1/2010,20000
Brazil,7/1/2011,48592
Colombia,7/1/2011,7653
Ethiopia,7/1/2011,6798
Indonesia,7/1/2011,6889
Other,7/1/2011,46043
Viet Nam,7/1/2011,26500
Brazil,7/1/2012,55418
Colombia,7/1/2012,9927
Ethiopia,7/1/2012,6233
Indonesia,7/1/2012,13070
Other,7/1/2012,43235
Viet Nam,7/1/2012,23402
Brazil,7/1/2013,54689
Colombia,7/1/2013,12124
Ethiopia,7/1/2013,6427
Indonesia,7/1/2013,12901
Other,7/1/2013,40343
Viet Nam,7/1/2013,27610
Brazil,7/1/2014,53305
Colombia,7/1/2014,13333
Ethiopia,7/1/2014,6575
Indonesia,7/1/2014,10946
Other,7/1/2014,39091
Viet Nam,7/1/2014,26500
Brazil,7/1/2015,52871
Colombia,7/1/2015,14009
Ethiopia,7/1/2015,6714
Indonesia,7/1/2015,12585
Other,7/1/2015,39072
Viet Nam,7/1/2015,28737
Brazil,7/1/2016,56788
Colombia,7/1/2016,14634
Ethiopia,7/1/2016,7297
Indonesia,7/1/2016,11541
Other,7/1/2016,44115
Viet Nam,7/1/2016,25540
Brazil,7/1/2017,52740
Colombia,7/1/2017,13824
Ethiopia,7/1/2017,7454
Indonesia,7/1/2017,10852
Other,7/1/2017,45318
Viet Nam,7/1/2017,27888
Brazil,7/1/2018,62925
Colombia,7/1/2018,13858
Ethiopia,7/1/2018,7776
Indonesia,7/1/2018,9418
Other,7/1/2018,45784
Viet Nam,7/1/2018,31174
